School Year,Program ID,Program Name,Number of Enrollees,Number of Dropout,Number of Graduates
2012-2013,1,Bachelor of Science in Information Technology (BSIT),325,0,0
2013-2014,1,Bachelor of Science in Information Technology (BSIT),527,0,11
2014-2015,1,Bachelor of Science in Information Technology (BSIT),596,0,26
2015-2016,1,Bachelor of Science in Information Technology (BSIT),1000,0,25
2016-2017,1,Bachelor of Science in Information Technology (BSIT),774,0,39
2017-2018,1,Bachelor of Science in Information Technology (BSIT),716,0,79
2018-2019,1,Bachelor of Science in Information Technology (BSIT),837,52,104
2019-2020,1,Bachelor of Science in Information Technology (BSIT),1294,93,34
2020-2021,1,Bachelor of Science in Information Technology (BSIT),1688,142,68
2021-2022,1,Bachelor of Science in Information Technology (BSIT),1449,80,70
2022-2023,1,Bachelor of Science in Information Technology (BSIT),1292,67,184
2012-2013,2,Bachelor of Science in Accountancy (BSA),601,0,41
2013-2014,2,Bachelor of Science in Accountancy (BSA),581,0,33
2014-2015,2,Bachelor of Science in Accountancy (BSA),370,0,51
2015-2016,2,Bachelor of Science in Accountancy (BSA),327,0,25
2016-2017,2,Bachelor of Science in Accountancy (BSA),185,0,36
2017-2018,2,Bachelor of Science in Accountancy (BSA),126,0,12
2018-2019,2,Bachelor of Science in Accountancy (BSA),337,12,29
2019-2020,2,Bachelor of Science in Accountancy (BSA),474,23,18
2020-2021,2,Bachelor of Science in Accountancy (BSA),778,35,0
2021-2022,2,Bachelor of Science in Accountancy (BSA),962,35,68
2022-2023,2,Bachelor of Science in Accountancy (BSA),645,36,100
2012-2013,3,Bachelor of Science in Entrepreneurship (BSE),427,0,20
2013-2014,3,Bachelor of Science in Entrepreneurship (BSE),571,0,25
2014-2015,3,Bachelor of Science in Entrepreneurship (BSE),739,0,34
2015-2016,3,Bachelor of Science in Entrepreneurship (BSE),899,0,38
2016-2017,3,Bachelor of Science in Entrepreneurship (BSE),827,0,85
2017-2018,3,Bachelor of Science in Entrepreneurship (BSE),628,0,92
2018-2019,3,Bachelor of Science in Entrepreneurship (BSE),627,40,102
2019-2020,3,Bachelor of Science in Entrepreneurship (BSE),924,87,41
2020-2021,3,Bachelor of Science in Entrepreneurship (BSE),1308,131,32
2021-2022,3,Bachelor of Science in Entrepreneurship (BSE),1222,93,104
2022-2023,3,Bachelor of Science in Entrepreneurship (BSE),1200,30,186
2012-2013,4,Bachelor of Science in Computer Science (BSCS),310,0,16
2013-2014,4,Bachelor of Science in Computer Science (BSCS),400,0,12
2014-2015,4,Bachelor of Science in Computer Science (BSCS),427,0,20
2015-2016,4,Bachelor of Science in Computer Science (BSCS),455,0,19
2016-2017,4,Bachelor of Science in Computer Science (BSCS),331,0,28
2017-2018,4,Bachelor of Science in Computer Science (BSCS),220,0,38
2018-2019,4,Bachelor of Science in Computer Science (BSCS),204,12,29
2019-2020,4,Bachelor of Science in Computer Science (BSCS),229,23,19
2020-2021,4,Bachelor of Science in Computer Science (BSCS),391,49,1
2021-2022,4,Bachelor of Science in Computer Science (BSCS),415,23,22
2022-2023,4,Bachelor of Science in Computer Science (BSCS),437,13,34
2012-2013,5,Bachelor of Science in Mechanical Engineering (BSME),256,0,10
2013-2014,5,Bachelor of Science in Mechanical Engineering (BSME),343,0,12
2014-2015,5,Bachelor of Science in Mechanical Engineering (BSME),484,0,12
2015-2016,5,Bachelor of Science in Mechanical Engineering (BSME),616,0,12
2016-2017,5,Bachelor of Science in Mechanical Engineering (BSME),609,0,23
2017-2018,5,Bachelor of Science in Mechanical Engineering (BSME),496,0,43
2018-2019,5,Bachelor of Science in Mechanical Engineering (BSME),812,52,31
2019-2020,5,Bachelor of Science in Mechanical Engineering (BSME),820,33,44
2020-2021,5,Bachelor of Science in Mechanical Engineering (BSME),698,47,33
2021-2022,5,Bachelor of Science in Mechanical Engineering (BSME),1113,34,36
2022-2023,5,Bachelor of Science in Mechanical Engineering (BSME),947,40,80
2012-2013,6,Bachelor of Arts in Communication (BAC),240,0,10
2013-2014,6,Bachelor of Arts in Communication (BAC),374,0,14
2014-2015,6,Bachelor of Arts in Communication (BAC),490,0,20
2015-2016,6,Bachelor of Arts in Communication (BAC),533,0,20
2016-2017,6,Bachelor of Arts in Communication (BAC),447,0,65
2017-2018,6,Bachelor of Arts in Communication (BAC),284,0,50
2018-2019,6,Bachelor of Arts in Communication (BAC),288,15,32
2019-2020,6,Bachelor of Arts in Communication (BAC),397,36,27
